name,status,source_url,target_path,size_bytes,updated_at,notes
TraceAnything pretrained,downloaded,https://huggingface.co/depth-anything/trace-anything/resolve/main/trace_anything.pt?download=true,/home/chen034/workspace/stwm/models/checkpoints/traceanything/traceanything_pretrained.pt,2590307933,2026-03-30 00:32:34,Official TraceAnything checkpoint
SAM2.1 hiera large,downloaded,https://dl.fbaipublicfiles.com/segment_anything_2/092824/sam2.1_hiera_large.pt,/home/chen034/workspace/stwm/models/checkpoints/sam2/sam2.1_hiera_large.pt,898083611,2026-03-30 00:32:36,Official SAM2.1 checkpoint
SAM2.1 hiera base+,downloaded,https://dl.fbaipublicfiles.com/segment_anything_2/092824/sam2.1_hiera_base_plus.pt,/home/chen034/workspace/stwm/models/checkpoints/sam2/sam2.1_hiera_base_plus.pt,323606802,2026-03-30 00:32:36,Official SAM2.1 checkpoint
DEVA propagation,downloaded,https://github.com/hkchengrex/Tracking-Anything-with-DEVA/releases/download/v1.0/DEVA-propagation.pth,/home/chen034/workspace/stwm/models/checkpoints/deva/DEVA-propagation.pth,276911801,2026-03-30 00:33:05,Official DEVA weight
DEVA groundingdino swint,downloaded,https://github.com/IDEA-Research/GroundingDINO/releases/download/v0.1.0-alpha/groundingdino_swint_ogc.pth,/home/chen034/workspace/stwm/models/checkpoints/deva/groundingdino_swint_ogc.pth,693997677,2026-03-30 00:34:19,Official GroundingDINO dependency for DEVA
DEVA SAM ViT-H,downloaded,https://dl.fbaipublicfiles.com/segment_anything/sam_vit_h_4b8939.pth,/home/chen034/workspace/stwm/models/checkpoints/deva/sam_vit_h_4b8939.pth,2564550879,2026-03-30 00:34:23,Official SAM dependency for DEVA
DEVA SAM-HQ ViT-H,downloaded,https://huggingface.co/lkeab/hq-sam/resolve/main/sam_hq_vit_h.pth?download=true,/home/chen034/workspace/stwm/models/checkpoints/deva/sam_hq_vit_h.pth,2570940653,2026-03-30 00:34:28,Official SAM-HQ dependency for DEVA
DEVA SAM-HQ ViT-Tiny,downloaded,https://huggingface.co/lkeab/hq-sam/resolve/main/sam_hq_vit_tiny.pth?download=true,/home/chen034/workspace/stwm/models/checkpoints/deva/sam_hq_vit_tiny.pth,42526881,2026-03-30 00:34:29,Official SAM-HQ dependency for DEVA
DEVA MobileSAM,downloaded,https://github.com/hkchengrex/Tracking-Anything-with-DEVA/releases/download/v1.0/mobile_sam.pt,/home/chen034/workspace/stwm/models/checkpoints/deva/mobile_sam.pt,40728226,2026-03-30 00:34:34,Official MobileSAM dependency for DEVA
DEVA GroundingDINO config,downloaded,https://github.com/hkchengrex/Tracking-Anything-with-DEVA/releases/download/v1.0/GroundingDINO_SwinT_OGC.py,/home/chen034/workspace/stwm/models/checkpoints/deva/GroundingDINO_SwinT_OGC.py,1006,2026-03-30 00:34:34,Official GroundingDINO config for DEVA
Cutie pretrained,downloaded,https://github.com/hkchengrex/Cutie/releases/download/v1.0/cutie-base-mega.pth,/home/chen034/workspace/stwm/models/checkpoints/cutie/cutie-base-mega.pth,140443788,2026-03-30 00:34:53,Official Cutie checkpoint
Cutie interactive checkpoint,downloaded,https://github.com/hkchengrex/Cutie/releases/download/v1.0/coco_lvis_h18_itermask.pth,/home/chen034/workspace/stwm/models/checkpoints/cutie/coco_lvis_h18_itermask.pth,40700707,2026-03-30 00:35:01,Official interactive checkpoint packaged by Cutie
YOLO-World small,downloaded,https://huggingface.co/wondervictor/YOLO-World-V2.1/resolve/main/s_stage2-4466ab94.pth,/home/chen034/workspace/stwm/models/checkpoints/yolo_world/yolo_world_s_stage2.pth,305058902,2026-03-30 00:35:04,Official YOLO-World V2.1 small checkpoint
YOLO-World medium,downloaded,https://huggingface.co/wondervictor/YOLO-World-V2.1/resolve/main/m_stage2-9987dcb1.pth,/home/chen034/workspace/stwm/models/checkpoints/yolo_world/yolo_world_m_stage2.pth,367609062,2026-03-30 00:35:08,Official YOLO-World V2.1 medium checkpoint
YOLO-World large,downloaded,https://huggingface.co/wondervictor/YOLO-World-V2.1/resolve/main/l_stage2-b3e3dc3f.pth,/home/chen034/workspace/stwm/models/checkpoints/yolo_world/yolo_world_l_stage2.pth,441517219,2026-03-30 00:35:10,Official YOLO-World V2.1 large checkpoint
