name,url,path,commit_hash,cloned_at,status
TraceAnything,https://github.com/ByteDance-Seed/TraceAnything.git,/home/chen034/workspace/stwm/third_party/TraceAnything,54677b5e7bf11510c2e8c917a509988ad379f8eb,2026-03-30 00:27:42,ok
OV2VSS,https://github.com/AVC2-UESTC/OV2VSS.git,/home/chen034/workspace/stwm/third_party/OV2VSS,25fca42e1dcd8712510c86724aa7ebd3456f1cdd,2026-03-30 00:27:45,ok
sam2,https://github.com/facebookresearch/sam2.git,/home/chen034/workspace/stwm/third_party/sam2,2b90b9f5ceec907a1c18123530e92e794ad901a4,2026-03-30 00:27:50,ok
Tracking-Anything-with-DEVA,https://github.com/hkchengrex/Tracking-Anything-with-DEVA.git,/home/chen034/workspace/stwm/third_party/Tracking-Anything-with-DEVA,404a112df77f9644d5c7211811329ccd8174b8c3,2026-03-30 00:27:50,ok
Cutie,https://github.com/hkchengrex/Cutie.git,/home/chen034/workspace/stwm/third_party/Cutie,ec5cdd4cf16f75c73ad785a2f96fb97dbad4125a,2026-03-30 00:27:52,ok
XMem,https://github.com/hkchengrex/XMem.git,/home/chen034/workspace/stwm/third_party/XMem,f3b841d50df058910bbf690229ddc15fb1aef7d6,2026-03-30 00:27:52,ok
YOLO-World,https://github.com/AILab-CVC/YOLO-World.git,/home/chen034/workspace/stwm/third_party/YOLO-World,4f70adbaacf5685bd9ec5bea85f1f91057f6fc0b,2026-03-30 00:27:53,ok
TraceAnything,https://github.com/ByteDance-Seed/TraceAnything.git,/home/chen034/workspace/stwm/third_party/TraceAnything,54677b5e7bf11510c2e8c917a509988ad379f8eb,2026-03-30 03:18:17,ok
OV2VSS,https://github.com/AVC2-UESTC/OV2VSS.git,/home/chen034/workspace/stwm/third_party/OV2VSS,25fca42e1dcd8712510c86724aa7ebd3456f1cdd,2026-03-30 03:18:17,ok
sam2,https://github.com/facebookresearch/sam2.git,/home/chen034/workspace/stwm/third_party/sam2,2b90b9f5ceec907a1c18123530e92e794ad901a4,2026-03-30 03:18:17,ok
Tracking-Anything-with-DEVA,https://github.com/hkchengrex/Tracking-Anything-with-DEVA.git,/home/chen034/workspace/stwm/third_party/Tracking-Anything-with-DEVA,404a112df77f9644d5c7211811329ccd8174b8c3,2026-03-30 03:18:17,ok
Cutie,https://github.com/hkchengrex/Cutie.git,/home/chen034/workspace/stwm/third_party/Cutie,ec5cdd4cf16f75c73ad785a2f96fb97dbad4125a,2026-03-30 03:18:17,ok
XMem,https://github.com/hkchengrex/XMem.git,/home/chen034/workspace/stwm/third_party/XMem,f3b841d50df058910bbf690229ddc15fb1aef7d6,2026-03-30 03:18:17,ok
YOLO-World,https://github.com/AILab-CVC/YOLO-World.git,/home/chen034/workspace/stwm/third_party/YOLO-World,4f70adbaacf5685bd9ec5bea85f1f91057f6fc0b,2026-03-30 03:18:17,ok
